input,target
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](C)CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)C(C)C,"(2S)-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S)-2-[[(2S)-4-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-5-carbamimidamido-2-methylpentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-4-methylpentanoyl]amino]-4-oxobutanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-methylbutanoyl]amino]-3-hydroxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]-N-[(2S)-1-[[1-amino-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]-N-methylpentanediamide"
CCCCCCCCc1ccc(C2(c3ccc(CCCCCCCC)cc3)c3ccccc3-c3ccc(-c4cc(-c5ccc6c(c5)C(c5ccc(CCCCCCCC)cc5)(c5ccc(CCCCCCCC)cc5)c5ccccc5-6)c5ccc6c(-c7ccc8c(c7)C(c7ccc(CCCCCCCC)cc7)(c7ccc(CCCCCCCC)cc7)c7ccccc7-8)cc(-c7ccc8c(c7)C(c7ccc(CCCCCCCC)cc7)(c7ccc(CCCCCCCC)cc7)c7ccccc7-8)c7ccc4c5c76)cc32)cc1,"1,3,6,8-tetrakis[9,9-bis(4-octylphenyl)fluoren-2-yl]pyrene"
CC(C)CO[C@@H]1CC(C(N)=O)N(C(=O)[C@@H]2C[C@@H](OCCC[NH+]=C(N)N)CN2C(=O)C2C[C@@H](OCCC[NH+]=C(N)N)CN2C(=O)[C@@H]2C[C@@H](OCC(C)C)CN2C(=O)CCC(=O)CCCSSCCCC(=O)OC[C@H]2O[C@H](O[C@H]3[C@H](N)C[C@H](N)[C@@H](O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]3O)[C@H](O)[C@@H](N)[C@@H]2O)C1,"3-[(3R)-1-[(2S,4R)-1-[7-[[4-[[(2R,3S,4S,5R,6S)-4-amino-6-[(1S,2R,3R,4S,6R)-4,6-diamino-3-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-3,5-dihydroxyoxan-2-yl]methoxy]-4-oxobutyl]disulfanyl]-4-oxoheptanoyl]-4-(2-methylpropoxy)pyrrolidine-2-carbonyl]-5-[(2S,4R)-2-[(4R)-2-carbamoyl-4-(2-methylpropoxy)pyrrolidine-1-carbonyl]-4-[3-(diaminomethylideneazaniumyl)propoxy]pyrrolidine-1-carbonyl]pyrrolidin-3-yl]oxypropyl-(diaminomethylidene)azanium"
C#CCCCO[C@@H]1OC(C)[C@@H](O[C@@H]2OC(COC(C)=O)[C@@H](O[C@@H]3OC(C)[C@@H](O[C@@H]4OC(COC(C)=O)[C@@H](O[C@@H]5OC(C)[C@@H](O[C@@H]6OC(COC(C)=O)[C@@H](C)[C@H](C)C6N=[N+]=[N-])[C@@H](OCc6ccccc6)C5C)[C@H](C)C4N=[N+]=[N-])[C@@H](OCc4ccccc4)C3C)[C@H](C)C2N=[N+]=[N-])[C@@H](OCc2ccccc2)C1C,"[(3S,4S,6S)-6-[(3R,4S,6S)-6-[(3S,4R,6S)-2-(acetyloxymethyl)-6-[(3R,4S,6S)-6-[(3S,4R,6S)-2-(acetyloxymethyl)-5-azido-6-[(3R,4S,6R)-2,5-dimethyl-6-pent-4-ynoxy-4-phenylmethoxyoxan-3-yl]oxy-4-methyloxan-3-yl]oxy-2,5-dimethyl-4-phenylmethoxyoxan-3-yl]oxy-5-azido-4-methyloxan-3-yl]oxy-2,5-dimethyl-4-phenylmethoxyoxan-3-yl]oxy-5-azido-3,4-dimethyloxan-2-yl]methyl acetate"
CC(=O)NC1CCCNC(=O)CCC(C(=O)N2CCCC2C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCC(=O)O)C(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O,"17-[2-[2-[2-[[5-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[1-[22-acetamido-5-benzyl-8-(3-carbamimidamidopropyl)-2-(1H-imidazol-5-ylmethyl)-11-(1H-indol-3-ylmethyl)-3,6,9,12,17,23-hexaoxo-1,4,7,10,13,18-hexazacyclotricosane-14-carbonyl]pyrrolidine-2-carbonyl]amino]-3-hydroxypropanoyl]amino]-6-aminohexanoyl]amino]-4-carboxybutanoyl]amino]-4-carboxybutanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxypropanoyl]amino]-4-carboxybutanoyl]amino]-6-amino-6-oxohexyl]amino]-2-oxoethoxy]ethoxy]ethylamino]-17-oxoheptadecanoic acid"
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl prop-2-enoate
Cc1ccc(C2=C(c3ccc(C#Cc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)C(=O)C(c3ccc(C#Cc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)=C2c2ccc(C(c3ccc(C4=C(c5ccc(C#Cc6cc(C)cc(C(F)(F)F)c6)cc5)C(O)C(c5ccc(C#Cc6cc(C(F)(F)F)cc(C(F)(F)F)c6)cc5)=C4c4ccc(C(F)(F)F)cc4)cc3)(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(F)(F)F)cc2)cc1,"3-[4-[1-[3,5-bis(trifluoromethyl)phenyl]-1-[4-[4-[4-[2-[3,5-bis(trifluoromethyl)phenyl]ethynyl]phenyl]-3-hydroxy-2-[4-[2-[3-methyl-5-(trifluoromethyl)phenyl]ethynyl]phenyl]-5-[4-(trifluoromethyl)phenyl]cyclopenta-1,4-dien-1-yl]phenyl]-2,2,2-trifluoroethyl]phenyl]-2,5-bis[4-[2-[3,5-bis(trifluoromethyl)phenyl]ethynyl]phenyl]-4-(4-methylphenyl)cyclopenta-2,4-dien-1-one"
C[C@H]1[C@H](O)[C@]2(C)O[C@]3(C[C@H](O)CO3)[C@@H](C)[C@H](C)[C@H]2O[C@H]2C[C@H]3O[C@H]4C[C@H]5O[C@H]6CC=CC[C@H]7O[C@H]8C=C[C@H]9O[C@@H]%10[C@@H](C[C@@H]9O[C@@H]8C=C[C@@H]7O[C@@H]6C[C@@H](O)[C@]5(C)O[C@@H]4C[C@H](C)C[C@@H]3O[C@@H]21)O[C@H]1CC=C[C@H](C=C[C@H](O)CO)O[C@@H]1[C@H]%10O,"""(1R,3S,3S,6R,8S,10R,12S,16R,18R,19R,20S,22R,25S,27R,32S,34R,36S,38R,40S,42R,43S,44S,45R,47S,48S,49S,50R,52S,54R,56R,58S,59R)-16-[(3S)-3,4-dihydroxybut-1-enyl]-43,44,47,49,54,58-hexamethylspiro[2,7,11,17,21,26,33,37,41,46,51,57-dodecaoxadodecacyclo[30.28.0.03,27.06,25.08,22.010,20.012,18.034,58.036,56.038,52.040,50.042,47]hexaconta-4,14,23,29-tetraene-45,5-oxolane]-3,19,48,59-tetrol"""
CCCC[C@H]1C(=O)N(C)CC(=O)N[C@@H](CC(=O)O)C(=O)NC(C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)CC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NCC(=O)O)CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,"2-[(5S,8S,11S,17S,23S,26S,32S,35S,38S,41R)-5,8,23-tribenzyl-11-butyl-41-(carboxymethylcarbamoyl)-26,35-bis[(4-hydroxyphenyl)methyl]-32-(1H-indol-3-ylmethyl)-7,10,13,22,28-pentamethyl-38-(2-methylpropyl)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxo-20-propan-2-yl-1-thia-4,7,10,13,16,19,22,25,28,31,34,37,40-tridecazacyclodotetracont-17-yl]acetic acid"
CCCCCC=CCC=CCCCCCCCCC1(CCCCCCCCC=CCC=CCCCCC)OC(CCOCCCCCCNC(=O)CCCCCn2c(O)cc(SCC(N)C(=O)NCCCCCC(=O)NC(CCC(=O)NCCCCC3NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(C(=O)O)NC(=O)C(Cc4ccc(O)cc4)NC3=O)C(=O)NCCCCC3NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(Cc4ccc(O)cc4)NC3=O)c2O)C(CCN(C)C)O1,"11-[4-[[4-[6-[[2-amino-3-[1-[6-[6-[2-[5-[2-(dimethylamino)ethyl]-2,2-bis(octadeca-9,12-dienyl)-1,3-dioxolan-4-yl]ethoxy]hexylamino]-6-oxohexyl]-2,5-dihydroxypyrrol-3-yl]sulfanylpropanoyl]amino]hexanoylamino]-5-[4-[14-(3-carbamimidamidopropyl)-8-(carboxymethyl)-5-[(4-hydroxyphenyl)methyl]-3,6,9,12,15-pentaoxo-1,4,7,10,13-pentazacyclopentadec-2-yl]butylamino]-5-oxopentanoyl]amino]butyl]-8-(3-carbamimidamidopropyl)-14-[(4-hydroxyphenyl)methyl]-3,6,9,12,15-pentaoxo-1,4,7,10,13-pentazacyclopentadecane-2-carboxylic acid"
