input, target
CC(=O)Nc1c(-c2ccccc2)c(C)nn1-c1ccc(C(=O)NC(C)C)cc1, 4-(5-acetamido-3-methyl-4-phenylpyrazol-1-yl)-N-propan-2-ylbenzamide
CC(OC(=O)c1nn(C)c(=O)c2ccccc12)C(=O)NCc1ccc(Cl)cc1, [1-[(4-chlorophenyl)methylamino]-1-oxopropan-2-yl] 3-methyl-4-oxophthalazine-1-carboxylate
COC(=O)C[C@H](c1cc2c(cc1O)OCO2)c1cc2ccccc2n(C)c1=O, methyl (3R)-3-(6-hydroxy-1,3-benzodioxol-5-yl)-3-(1-methyl-2-oxoquinolin-3-yl)propanoate
CC(N[C@@H]1CCN(C(=O)O)C[C@@H]1c1ccc(F)cc1)c1ccccc1, (3S,4R)-3-(4-fluorophenyl)-4-(1-phenylethylamino)piperidine-1-carboxylic acid
Cc1cc(C)cc(OCC(O)Cn2c(Br)nc3c2c(=O)n(C)c(=O)n3C)c1, 8-bromo-7-[3-(3,5-dimethylphenoxy)-2-hydroxypropyl]-1,3-dimethylpurine-2,6-dione
COc1cc(/C=C2\N=C(c3cc(I)ccc3Cl)OC2=O)cc(I)c1OC(C)C, (4Z)-2-(2-chloro-5-iodophenyl)-4-[(3-iodo-5-methoxy-4-propan-2-yloxyphenyl)methylidene]-1,3-oxazol-5-one
Cc1nc(C)c(C(=O)N2CCC3(CC2)C[C@@H](c2ccccc2)CN3C)s1, (2,4-dimethyl-1,3-thiazol-5-yl)-[(3S)-1-methyl-3-phenyl-1,8-diazaspiro[4.5]decan-8-yl]methanone
COc1cc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)nn1, 4-amino-N-cyclopropyl-8-(3,6-dimethoxypyridazin-4-yl)-7-fluorocinnoline-3-carboxamide
C/C=C(\C)CN(CC1CCN(C2Cc3ccccc3C2)CC1)C[C@@H]1CCCO1, (E)-N-[[1-(2,3-dihydro-1H-inden-2-yl)piperidin-4-yl]methyl]-2-methyl-N-[[(2S)-oxolan-2-yl]methyl]but-2-en-1-amine
CC(C)c1cccc([C@H](C)C2CC2)c1OCCCC(C)[C@H](N)C(=O)O, (2S)-2-amino-6-[2-[(1R)-1-cyclopropylethyl]-6-propan-2-ylphenoxy]-3-methylhexanoic acid
CC(C)(C(=O)Nc1ccccc1C(C)(C)C)C(=O)NC1CCS(=O)(=O)C1, N-(2-tert-butylphenyl)-N'-(1,1-dioxothiolan-3-yl)-2,2-dimethylpropanediamide
O=C(C1=CC(=O)N(CCc2c[nH]c3ccccc23)C(=O)C1)c1ccccc1, 4-benzoyl-1-[2-(1H-indol-3-yl)ethyl]-3H-pyridine-2,6-dione
